Provider_classification_type,Provider_classification_code,NPI_Required
1,2080P0208X,YES
1,2080P0210X,YES
1,2080P0214X,YES
1,2080P0216X,YES
1,2080S0010X,YES
1,2080S0012X,YES
1,2080T0002X,YES
1,2080T0004X,YES
1,208100000X,YES
1,2081H0002X,YES
1,2081N0008X,YES
1,2081P0004X,YES
1,2081P0010X,YES
1,2081P0301X,YES
1,2081P2900X,YES
1,2081S0010X,YES
1,208200000X,YES
1,2082S0099X,YES
1,2082S0105X,YES
1,2083A0100X,YES
1,2083A0300X,YES
1,2083B0002X,YES
1,2083C0008X,YES
1,2083P0011X,YES
1,2083P0500X,YES
1,2083P0901X,YES
1,2083S0010X,YES
1,2083T0002X,YES
1,2083X0100X,YES
1,2084A0401X,YES
1,2084A2900X,YES
1,2084B0002X,YES
1,2084B0040X,YES
1,2084D0003X,YES
1,2084F0202X,YES
1,2084H0002X,YES
1,2084N0008X,YES
1,2084N0400X,YES
1,2084N0402X,YES
1,2084N0600X,YES
1,2084P0005X,YES
1,2084P0015X,YES
1,2084P0301X,YES
1,2084P0800X,YES
1,2084P0802X,YES
1,2084P0804X,YES
1,2084P0805X,YES
1,2084P2900X,YES
1,2084S0010X,YES
1,2084S0012X,YES
1,2084V0102X,YES
1,2085B0100X,YES
1,2085D0003X,YES
1,2085H0002X,YES
1,2085N0700X,YES
1,2085N0904X,YES
1,2085P0229X,YES
1,2085R0001X,YES
1,2085R0202X,YES
1,2085R0203X,YES
1,2085R0204X,YES
1,2085R0205X,YES
1,2085U0001X,YES
1,208600000X,YES
1,2086H0002X,YES
1,2086S0102X,YES
1,2086S0105X,YES
1,2086S0120X,YES
1,2086S0122X,YES
1,2086S0127X,YES
1,2086S0129X,YES
1,2086X0206X,YES
1,208800000X,YES
1,2088F0040X,YES
1,2088P0231X,YES
1,208C00000X,YES
1,208D00000X,YES
1,208G00000X,YES
1,208M00000X,YES
1,208U00000X,YES
1,208VP0000X,YES
1,208VP0014X,YES
1,209800000X,YES
1,211D00000X,YES
1,213E00000X,YES
1,213EG0000X,YES
