,ZipCode,StateFIPS
864,2661,25
865,2662,25
866,2663,25
867,2664,25
868,2666,25
869,2667,25
870,2668,25
871,2669,25
872,2670,25
873,2671,25
874,2672,25
875,2673,25
876,2675,25
877,2702,25
878,2703,25
879,2712,25
880,2713,25
881,2714,25
882,2715,25
883,2717,25
884,2718,25
885,2718,25
886,2719,25
887,2720,25
888,2721,25
889,2722,25
890,2723,25
891,2724,25
892,2725,25
893,2726,25
894,2738,25
895,2739,25
896,2740,25
897,2741,25
898,2742,25
899,2743,25
900,2744,25
901,2745,25
902,2746,25
903,2747,25
904,2748,25
905,2760,25
906,2761,25
907,2762,25
908,2762,25
909,2763,25
910,2764,25
911,2766,25
912,2767,25
913,2768,25
914,2769,25
915,2770,25
916,2771,25
917,2777,25
918,2779,25
919,2780,25
920,2790,25
921,2791,25
922,2801,44
923,2802,44
924,2804,44
925,2806,44
926,2807,44
927,2808,44
928,2809,44
929,2812,44
930,2813,44
931,2814,44
932,2815,44
933,2816,44
934,2817,44
935,2818,44
936,2822,44
937,2823,44
938,2824,44
939,2825,44
940,2826,44
941,2827,44
942,2828,44
943,2829,44
944,2830,44
945,2831,44
946,2832,44
947,2833,44
948,2835,44
949,2836,44
950,2837,44
951,2838,44
952,2839,44
953,2840,44
954,2841,44
955,2842,44
956,2852,44
957,2857,44
958,2858,44
959,2859,44
960,2860,44
961,2861,44
962,2862,44
963,2863,44
964,2864,44
965,2865,44
966,2871,44
967,2872,44
968,2873,44
969,2874,44
970,2875,44
971,2876,44
972,2877,44
973,2878,44
974,2879,44
975,2880,44
976,2881,44
977,2882,44
978,2883,44
979,2885,44
980,2886,44
981,2887,44
982,2888,44
983,2889,44
984,2891,44
985,2892,44
986,2893,44
987,2894,44
988,2895,44
989,2896,44
990,2898,44
991,2901,44
992,2902,44
993,2903,44
994,2904,44
995,2905,44
996,2906,44
997,2907,44
998,2908,44
999,2909,44
1000,2910,44
1001,2911,44
1002,2912,44
1003,2914,44
1004,2915,44
1005,2916,44
1006,2917,44
1007,2918,44
1008,2919,44
1009,2920,44
1010,2921,44
1011,2940,44
1012,3031,33
1013,3032,33
1014,3033,33
1015,3034,33
1016,3036,33
1017,3037,33
1018,3038,33
1019,3040,33
1020,3041,33
1021,3042,33
1022,3043,33
1023,3044,33
1024,3045,33
1025,3046,33
1026,3047,33
1027,3048,33
1028,3049,33
1029,3051,33
1030,3052,33
1031,3053,33
1032,3054,33
1033,3055,33
1034,3057,33
1035,3060,33
1036,3061,33
1037,3062,33
1038,3063,33
1039,3064,33
1040,3070,33
1041,3071,33
1042,3073,33
1043,3076,33
1044,3077,33
1045,3079,33
1046,3082,33
1047,3084,33
1048,3086,33
1049,3087,33
1050,3101,33
1051,3102,33
1052,3103,33
1053,3103,33
1054,3103,33
1055,3104,33
1056,3105,33
1057,3106,33
1058,3108,33
1059,3109,33
1060,3110,33
1061,3111,33
1062,3215,33
1063,3216,33
1064,3217,33
1065,3218,33
1066,3220,33
1067,3220,33
1068,3221,33
1069,3222,33
1070,3223,33
1071,3224,33
1072,3225,33
1073,3226,33
1074,3226,33
1075,3227,33
1076,3229,33
1077,3230,33
1078,3231,33
1079,3233,33
1080,3234,33
1081,3235,33
1082,3237,33
1083,3238,33
1084,3240,33
1085,3241,33
1086,3242,33
1087,3243,33
1088,3244,33
1089,3244,33
1090,3245,33
1091,3246,33
1092,3247,33
1093,3249,33
1094,3251,33
1095,3252,33
1096,3253,33
1097,3254,33
1098,3255,33
1099,3256,33
1100,3257,33
1101,3257,33
1102,3258,33
1103,3259,33
1104,3260,33
1105,3261,33
1106,3262,33
1107,3263,33
1108,3263,33
1109,3264,33
1110,3266,33
1111,3268,33
1112,3269,33
1113,3272,33
1114,3273,33
1115,3275,33
1116,3276,33
1117,3276,33
1118,3278,33
1119,3279,33
1120,3280,33
1121,3281,33
1122,3282,33
1123,3284,33
1124,3285,33
1125,3287,33
1126,3289,33
1127,3290,33
1128,3291,33
1129,3293,33
1130,3298,33
1131,3299,33
1132,3301,33
1133,3302,33
1134,3303,33
1135,3304,33
1136,3305,33
1137,3307,33
1138,3431,33
1139,3435,33
1140,3440,33
1141,3441,33
1142,3442,33
1143,3443,33
1144,3444,33
1145,3445,33
1146,3446,33
1147,3447,33
1148,3448,33
1149,3449,33
1150,3450,33
1151,3451,33
1152,3452,33
1153,3455,33
1154,3456,33
1155,3457,33
1156,3458,33
1157,3461,33
1158,3462,33
1159,3464,33
1160,3465,33
1161,3466,33
1162,3467,33
1163,3468,33
1164,3469,33
1165,3470,33
1166,3561,33
1167,3561,33
1168,3570,33
1169,3574,33
1170,3574,33
1171,3575,33
1172,3576,33
